Date,Open,High,Low,Close,Adj Close,Volume
2014-09-16,710000,734000,708000,727000,722721.5625,118741
2014-09-17,749000,750000,736000,743000,738627.375,104565
2014-09-18,801000,805000,766000,790000,785350.6875,417288
2014-09-19,786000,800000,783000,792000,787339,144178
2014-09-22,785000,796000,765000,790000,785350.6875,150178
2014-09-23,769000,834000,767000,834000,829091.75,347351
2014-09-24,824000,842000,817000,833000,828097.625,220027
2014-09-25,828000,834000,808000,808000,803244.8125,131697
2014-09-26,800000,828000,798000,821000,816168.25,100326
2014-09-29,821000,850000,815000,830000,825115.375,156267
2014-09-30,813000,819000,805000,807000,802250.6875,515075
2014-10-01,803000,820000,783000,804000,799268.3125,144274
2014-10-02,792000,814000,791000,792000,787339,104218
2014-10-06,793000,799000,775000,779000,774415.4375,102026
2014-10-07,779000,788000,763000,770000,765468.4375,74280
2014-10-08,769000,789000,768000,784000,779386.0625,99421
